,duration_mean,duration_median,duration_p90,charging_time_mean,charging_time_median,charging_time_p90,waiting_time_mean,waiting_time_median,waiting_time_p90,energy_gini,energy_cv,energy_hhi,energy_p90_p50_ratio,vehicle_gini,vehicle_cv,vehicle_hhi,charging_station_coverage,reroute_count,ev_charging_participation_rate,ev_charging_failures
duration_mean,1.0,2.0444384273729235e-11,3.135907043463833e-07,3.446038679165687e-10,1.5674469570151875e-12,9.537194450100987e-12,1.498108353563694e-14,1.0843499090619317e-10,1.095097018879566e-10,5.880583968549698e-07,3.3651762680402534e-07,3.1487190912481927e-12,1.4582889781288482e-08,4.291021661689535e-07,5.768163183647029e-05,2.3778641181091525e-15,2.956234103230787e-13,0.38283446736976184,5.4380845651499525e-14,1.160092861036423e-10
duration_median,2.0444384273729235e-11,1.0,0.020086490056620408,4.258412901883481e-05,2.236515288043801e-08,4.244499838148899e-05,6.923590032809297e-09,1.771417454872576e-09,4.10902849687584e-06,0.05389976037236866,0.03585878221737368,5.359988529618585e-06,0.0003003419186987122,2.261989409677694e-05,0.004053429189510137,2.0219859212417893e-06,6.996005368290891e-06,0.3048074550356804,5.341496127501873e-07,0.0007475733089761538
duration_p90,3.135907043463833e-07,0.020086490056620408,1.0,0.026710844551263744,0.8249024042888834,0.1973493996698058,2.0400136157703336e-12,8.724892234322799e-05,2.889314697551494e-17,0.09785310080563951,0.10240535289391654,0.8946505919607521,0.2849855810472827,0.15810485767720645,0.03469041516615909,0.3343185418837178,0.274095524374576,0.2448806154325799,0.741890680353575,0.30795192779922215
charging_time_mean,3.446038679165687e-10,4.258412901883481e-05,0.026710844551263744,1.0,1.6155383713727888e-16,2.0170914244126856e-32,3.402741191152861e-07,2.80291265545808e-07,2.4791693958912218e-06,1.4758843988980412e-13,1.7365416574084041e-10,4.9785042831726655e-25,3.5488379485197695e-09,1.6983605308998579e-18,4.626236990604568e-17,1.3634399736559284e-28,4.2710823686595755e-30,0.32843652173204835,1.7735660269232251e-22,7.626123300015849e-19
charging_time_median,1.5674469570151875e-12,2.236515288043801e-08,0.8249024042888834,1.6155383713727888e-16,1.0,3.0859055681432476e-16,7.65872631813501e-05,1.6162956321586555e-05,0.011888583460278254,3.669171587832006e-05,0.00048587264488754434,4.644351378892177e-16,0.0001330752640647557,5.845757677005043e-11,1.0876198078132285e-05,2.727494617135367e-23,3.6688974488547583e-22,0.1430943179008028,5.519950194540723e-18,3.015336658479976e-17
charging_time_p90,9.537194450100987e-12,4.244499838148899e-05,0.1973493996698058,2.0170914244126856e-32,3.0859055681432476e-16,1.0,1.948461125090168e-07,2.786895661336768e-07,0.00011859483924961691,1.5761813068944536e-13,2.1736419970803032e-17,9.098643371042351e-31,1.5169187949641044e-16,3.1442874930420726e-18,9.952271937782156e-13,3.766363028390765e-35,2.8914369511455474e-36,0.5982502532509546,5.956959017121949e-24,8.247820179039731e-22
waiting_time_mean,1.498108353563694e-14,6.923590032809297e-09,2.0400136157703336e-12,3.402741191152861e-07,7.65872631813501e-05,1.948461125090168e-07,1.0,1.3507197734170819e-12,9.122350681422467e-19,0.00029883621536251506,0.0006576986813131379,5.242492259549101e-06,0.0006469045527719363,3.108496297524487e-05,0.0014434087826826684,2.9978251356214652e-06,4.3447456695420976e-07,0.8248658004206116,0.00013591814420650807,7.940362650456788e-05
waiting_time_median,1.0843499090619317e-10,1.771417454872576e-09,8.724892234322799e-05,2.80291265545808e-07,1.6162956321586555e-05,2.786895661336768e-07,1.3507197734170819e-12,1.0,2.1973345158090436e-16,0.0010446429403597962,8.635687151586329e-07,5.766163858337042e-09,0.0007637859267276257,0.0033529681247400803,0.05168290389173353,1.3669584069624616e-05,1.4897263091773608e-06,0.5613328076283789,8.741591402021867e-06,4.012399213217279e-06
waiting_time_p90,1.095097018879566e-10,4.10902849687584e-06,2.889314697551494e-17,2.4791693958912218e-06,0.011888583460278254,0.00011859483924961691,9.122350681422467e-19,2.1973345158090436e-16,1.0,0.006299049416592524,0.0007266137911397372,2.8074292970326265e-05,0.020509378587186662,0.0005153410173696463,0.000452618733184108,0.000798114091462406,0.00029028122823462595,0.12647675041493997,0.0011435711024192577,0.0009167242327071871
energy_gini,5.880583968549698e-07,0.05389976037236866,0.09785310080563951,1.4758843988980412e-13,3.669171587832006e-05,1.5761813068944536e-13,0.00029883621536251506,0.0010446429403597962,0.006299049416592524,1.0,2.3446659228512094e-12,4.627804330791789e-12,1.4271575346048817e-13,2.0896486534827488e-11,2.977313726591552e-10,1.5934247498848642e-14,6.826058200256987e-10,0.7740855965913732,1.198429107915589e-11,6.801398105519639e-10
energy_cv,3.3651762680402534e-07,0.03585878221737368,0.10240535289391654,1.7365416574084041e-10,0.00048587264488754434,2.1736419970803032e-17,0.0006576986813131379,8.635687151586329e-07,0.0007266137911397372,2.3446659228512094e-12,1.0,4.590404144070056e-14,2.8318765576252615e-14,5.528504068007866e-07,2.075911722171923e-07,3.728622442634378e-12,1.2331419353493175e-12,0.9730005464860173,5.0507007708080504e-11,7.879947108534522e-10
energy_hhi,3.1487190912481927e-12,5.359988529618585e-06,0.8946505919607521,4.9785042831726655e-25,4.644351378892177e-16,9.098643371042351e-31,5.242492259549101e-06,5.766163858337042e-09,2.8074292970326265e-05,4.627804330791789e-12,4.590404144070056e-14,1.0,1.6764220369415447e-10,1.1223313714911226e-12,7.138422630212458e-10,2.967978398492904e-29,8.392521146834237e-32,0.9446285358757127,1.1533731125014791e-32,2.0716506398563266e-18
energy_p90_p50_ratio,1.4582889781288482e-08,0.0003003419186987122,0.2849855810472827,3.5488379485197695e-09,0.0001330752640647557,1.5169187949641044e-16,0.0006469045527719363,0.0007637859267276257,0.020509378587186662,1.4271575346048817e-13,2.8318765576252615e-14,1.6764220369415447e-10,1.0,2.965880043833062e-12,1.0663588216569085e-07,1.0049346714270611e-15,1.0377588957909494e-10,0.9486984769663204,1.1458118000329665e-13,1.7466221802798339e-10
vehicle_gini,4.291021661689535e-07,2.261989409677694e-05,0.15810485767720645,1.6983605308998579e-18,5.845757677005043e-11,3.1442874930420726e-18,3.108496297524487e-05,0.0033529681247400803,0.0005153410173696463,2.0896486534827488e-11,5.528504068007866e-07,1.1223313714911226e-12,2.965880043833062e-12,1.0,1.4833087639304391e-26,2.1106681859763732e-23,3.965480723897529e-15,0.8098919020584484,1.9591098716245176e-14,6.417644026801529e-13
vehicle_cv,5.768163183647029e-05,0.004053429189510137,0.03469041516615909,4.626236990604568e-17,1.0876198078132285e-05,9.952271937782156e-13,0.0014434087826826684,0.05168290389173353,0.000452618733184108,2.977313726591552e-10,2.075911722171923e-07,7.138422630212458e-10,1.0663588216569085e-07,1.4833087639304391e-26,1.0,3.44242636699987e-15,4.734067243396858e-10,0.9378667183692598,1.9523567390163247e-10,6.557346906988674e-08
vehicle_hhi,2.3778641181091525e-15,2.0219859212417893e-06,0.3343185418837178,1.3634399736559284e-28,2.727494617135367e-23,3.766363028390765e-35,2.9978251356214652e-06,1.3669584069624616e-05,0.000798114091462406,1.5934247498848642e-14,3.728622442634378e-12,2.967978398492904e-29,1.0049346714270611e-15,2.1106681859763732e-23,3.44242636699987e-15,1.0,5.685904208682037e-39,0.4997792016495194,4.1036101916495285e-34,1.6831240678503895e-24
charging_station_coverage,2.956234103230787e-13,6.996005368290891e-06,0.274095524374576,4.2710823686595755e-30,3.6688974488547583e-22,2.8914369511455474e-36,4.3447456695420976e-07,1.4897263091773608e-06,0.00029028122823462595,6.826058200256987e-10,1.2331419353493175e-12,8.392521146834237e-32,1.0377588957909494e-10,3.965480723897529e-15,4.734067243396858e-10,5.685904208682037e-39,1.0,0.2557051248758715,9.488812206716239e-30,1.116728763769303e-22
reroute_count,0.38283446736976184,0.3048074550356804,0.2448806154325799,0.32843652173204835,0.1430943179008028,0.5982502532509546,0.8248658004206116,0.5613328076283789,0.12647675041493997,0.7740855965913732,0.9730005464860173,0.9446285358757127,0.9486984769663204,0.8098919020584484,0.9378667183692598,0.4997792016495194,0.2557051248758715,1.0,0.6745445141785225,0.37544532624445265
ev_charging_participation_rate,5.4380845651499525e-14,5.341496127501873e-07,0.741890680353575,1.7735660269232251e-22,5.519950194540723e-18,5.956959017121949e-24,0.00013591814420650807,8.741591402021867e-06,0.0011435711024192577,1.198429107915589e-11,5.0507007708080504e-11,1.1533731125014791e-32,1.1458118000329665e-13,1.9591098716245176e-14,1.9523567390163247e-10,4.1036101916495285e-34,9.488812206716239e-30,0.6745445141785225,1.0,3.5897790224546894e-22
ev_charging_failures,1.160092861036423e-10,0.0007475733089761538,0.30795192779922215,7.626123300015849e-19,3.015336658479976e-17,8.247820179039731e-22,7.940362650456788e-05,4.012399213217279e-06,0.0009167242327071871,6.801398105519639e-10,7.879947108534522e-10,2.0716506398563266e-18,1.7466221802798339e-10,6.417644026801529e-13,6.557346906988674e-08,1.6831240678503895e-24,1.116728763769303e-22,0.37544532624445265,3.5897790224546894e-22,1.0
